method,forget_success,adv_robustness,open_safety,mmlu_accuracy,utility_retention,neighbor_utility,score
Base LLM,42.1,35.7,48.6,63.8,100.0,100.0,56.2
PoRT-only,67.4,64.1,63.0,63.5,95.6,93.8,72.6
Adapter-only,72.8,68.9,70.5,62.8,94.1,92.5,76.0
Adapter+Judge,78.6,77.4,76.2,62.4,92.7,91.6,80.8
+Adv variants,80.3,79.3,77.8,62.1,92.2,91.0,81.9
+Belief negatives,81.6,79.9,80.1,61.9,91.9,90.8,82.8
Full SAFE-PoRT,82.8,80.3,81.1,61.6,91.0,89.2,83.7
